"timestamp","lifetime","adc"
7341.0,643.750,103
7375.0,2212.500,354
7410.0,1906.250,305
7410.0,9000.000,1440
7432.0,4306.250,689
7464.0,625.000,100
7474.0,100.000,16
7493.0,22287.500,3566
7504.0,3437.500,550
7523.0,1200.000,192
7547.0,9500.000,1520
7564.0,518.750,83
7577.0,8293.750,1327
7601.0,1162.500,186
7635.0,3456.250,553
7657.0,1500.000,240
7709.0,1443.750,231
7745.0,1687.500,270
7747.0,437.500,70
7790.0,237.500,38
7811.0,12300.000,1968
7814.0,212.500,34
7821.0,1568.750,251
7878.0,818.750,131
7881.0,2100.000,336
7907.0,2256.250,361
7924.0,162.500,26
7948.0,2118.750,339
7971.0,556.250,89
7981.0,1643.750,263
7982.0,1425.000,228
7985.0,2031.250,325
8038.0,612.500,98
8086.0,15256.250,2441
8130.0,2456.250,393
8133.0,4212.500,674
8151.0,606.250,97
8189.0,3012.500,482
8214.0,562.500,90
8278.0,300.000,48
8295.0,2781.250,445
8354.0,5068.750,811
8425.0,6125.000,980
8432.0,1862.500,298
8441.0,106.250,17
8452.0,2918.750,467
8472.0,762.500,122
8482.0,13825.000,2212
8538.0,1737.500,278
8571.0,1100.000,176
8632.0,16556.250,2649
8665.0,3550.000,568
8701.0,681.250,109
8718.0,7837.500,1254
8733.0,825.000,132
8751.0,11787.500,1886
8773.0,862.500,138
8920.0,112.500,18
8944.0,7068.750,1131
8973.0,1031.250,165
9037.0,1237.500,198
9051.0,4243.750,679
9092.0,200.000,32
9113.0,20593.750,3295
9151.0,3456.250,553
9194.0,1118.750,179
9206.0,1600.000,256
9220.0,19775.000,3164
9223.0,356.250,57
9241.0,16343.750,2615
9295.0,2131.250,341
9348.0,243.750,39
9358.0,412.500,66
9360.0,3812.500,610
9399.0,1162.500,186
9422.0,2287.500,366
9454.0,337.500,54
9504.0,17125.000,2740
9540.0,3468.750,555
9577.0,1375.000,220
9578.0,2250.000,360
9595.0,8618.750,1379
9619.0,231.250,37
9652.0,418.750,67
9670.0,1181.250,189
9720.0,6068.750,971
9753.0,4737.500,758
9784.0,975.000,156
9789.0,5100.000,816
9796.0,937.500,150
9819.0,1018.750,163
9858.0,812.500,130
9904.0,218.750,35
9925.0,1637.500,262
9938.0,218.750,35
9948.0,3650.000,584
9958.0,3493.750,559
9968.0,6087.500,974
9986.0,3112.500,498
10014.0,1650.000,264
10014.0,212.500,34
10017.0,468.750,75
10019.0,1006.250,161
10062.0,325.000,52
10071.0,3618.750,579
10154.0,2531.250,405
10177.0,2818.750,451
10202.0,9393.750,1503
10218.0,4956.250,793
10230.0,2581.250,413
10239.0,475.000,76
10243.0,3543.750,567
10287.0,175.000,28
10325.0,1631.250,261
10329.0,12006.250,1921
10346.0,325.000,52
10369.0,1481.250,237
10397.0,1031.250,165
10398.0,4218.750,675
10415.0,5468.750,875
10457.0,3812.500,610
10461.0,306.250,49
10469.0,4768.750,763
10470.0,450.000,72
10486.0,168.750,27
10498.0,1737.500,278
10510.0,1518.750,243
10532.0,1306.250,209
10548.0,137.500,22
10572.0,8543.750,1367
10572.0,3225.000,516
10580.0,4225.000,676
10652.0,293.750,47
10716.0,1125.000,180
10741.0,5181.250,829
10754.0,3350.000,536
10756.0,23343.750,3735
10771.0,18293.750,2927
10800.0,16768.750,2683
10808.0,1506.250,241
10902.0,3287.500,526
10903.0,4925.000,788
10918.0,2737.500,438
10928.0,12225.000,1956
10934.0,2112.500,338
10949.0,2025.000,324
10983.0,14093.750,2255
10991.0,531.250,85
10995.0,875.000,140
11000.0,1025.000,164
11010.0,1568.750,251
11032.0,1575.000,252
11044.0,4625.000,740
11104.0,2731.250,437
11120.0,3437.500,550
11202.0,21637.500,3462
11213.0,1487.500,238
11230.0,131.250,21
11254.0,5937.500,950
11258.0,4518.750,723
11300.0,24168.750,3867
11338.0,925.000,148
11343.0,1350.000,216
11345.0,1518.750,243
11349.0,10137.500,1622
11392.0,281.250,45
11416.0,1050.000,168
11472.0,1825.000,292
11539.0,681.250,109
11541.0,706.250,113
11557.0,13962.500,2234
11658.0,20781.250,3325
11707.0,1912.500,306
11725.0,1568.750,251
11779.0,2287.500,366
11798.0,1268.750,203
11819.0,3875.000,620
11877.0,12137.500,1942
11879.0,1875.000,300
11892.0,2100.000,336
11972.0,781.250,125
11999.0,4506.250,721
12026.0,2987.500,478
12073.0,10681.250,1709
12105.0,8625.000,1380
12127.0,6500.000,1040
12168.0,2793.750,447
12253.0,150.000,24
12274.0,325.000,52
12294.0,2843.750,455
12299.0,743.750,119
12313.0,318.750,51
12347.0,1750.000,280
12391.0,2150.000,344
12443.0,17631.250,2821
12489.0,2781.250,445
12574.0,1775.000,284
12631.0,4625.000,740
12645.0,4868.750,779
12685.0,4168.750,667
12731.0,1450.000,232
12863.0,2937.500,470
12884.0,5256.250,841
13008.0,6575.000,1052
13039.0,487.500,78
13040.0,23625.000,3780
13047.0,16868.750,2699
13103.0,8150.000,1304
13121.0,2956.250,473
13121.0,1212.500,194
13124.0,13662.500,2186
13141.0,1575.000,252
13171.0,881.250,141
13186.0,300.000,48
13234.0,425.000,68
13254.0,9556.250,1529
13255.0,10006.250,1601
13274.0,3687.500,590
13284.0,6925.000,1108
13304.0,956.250,153
13310.0,2118.750,339
13326.0,4818.750,771
13328.0,950.000,152
13333.0,1468.750,235
13338.0,6818.750,1091
13345.0,518.750,83
13380.0,362.500,58
13381.0,1837.500,294
13381.0,350.000,56
13382.0,212.500,34
13413.0,1400.000,224
13446.0,3081.250,493
13454.0,14225.000,2276
13487.0,11906.250,1905
13491.0,2256.250,361
13541.0,550.000,88
13559.0,4937.500,790
13607.0,262.500,42
13655.0,6018.750,963
13733.0,3243.750,519
13734.0,17812.500,2850
13747.0,7512.500,1202
13748.0,1256.250,201
13768.0,4525.000,724
13779.0,6568.750,1051
13794.0,450.000,72
13806.0,2825.000,452
13822.0,1568.750,251
13830.0,23818.750,3811
13850.0,3662.500,586
13861.0,1218.750,195
13869.0,4362.500,698
13885.0,150.000,24
13886.0,512.500,82
13890.0,1550.000,248
13952.0,662.500,106
13982.0,1668.750,267
14058.0,1218.750,195
14119.0,393.750,63
14121.0,4075.000,652
14194.0,20318.750,3251
14217.0,1412.500,226
14222.0,3368.750,539
14250.0,2000.000,320
14251.0,2037.500,326
14327.0,1387.500,222
14364.0,481.250,77
14413.0,350.000,56
14417.0,1750.000,280
14488.0,1443.750,231
14513.0,2400.000,384
14536.0,793.750,127
14565.0,2487.500,398
14567.0,4056.250,649
14601.0,156.250,25
14676.0,237.500,38
14690.0,287.500,46
14707.0,400.000,64
14719.0,456.250,73
14747.0,1125.000,180
14748.0,4331.250,693
14756.0,6606.250,1057
14774.0,6687.500,1070
14831.0,2906.250,465
14873.0,24168.750,3867
14878.0,1368.750,219
14921.0,9806.250,1569
14932.0,4531.250,725
14940.0,1243.750,199
14956.0,1025.000,164
14958.0,375.000,60
14959.0,1625.000,260
14987.0,3106.250,497
15046.0,150.000,24
15048.0,468.750,75
15069.0,1681.250,269
15075.0,893.750,143
15085.0,2131.250,341
15092.0,23506.250,3761
15094.0,1137.500,182
15096.0,1956.250,313
15136.0,1062.500,170
15159.0,8362.500,1338
15170.0,93.750,15
15261.0,1162.500,186
15282.0,18500.000,2960
15358.0,4331.250,693
15457.0,412.500,66
15466.0,24356.250,3897
15516.0,22793.750,3647
15525.0,568.750,91
15551.0,262.500,42
15552.0,162.500,26
15579.0,1987.500,318
15717.0,14062.500,2250
15776.0,1187.500,190
15791.0,643.750,103
15828.0,13893.750,2223
15843.0,650.000,104
15853.0,1512.500,242
15867.0,987.500,158
15877.0,2418.750,387
15894.0,1818.750,291
15898.0,1193.750,191
15899.0,5056.250,809
15937.0,312.500,50
15970.0,1968.750,315
15990.0,3743.750,599
16001.0,4618.750,739
16109.0,2218.750,355
16125.0,2368.750,379
16129.0,4368.750,699
16155.0,11268.750,1803
16172.0,12600.000,2016
16190.0,1562.500,250
16200.0,1618.750,259
16201.0,7343.750,1175
16247.0,550.000,88
16350.0,25075.000,4012
16372.0,2287.500,366
16378.0,1768.750,283
16399.0,1806.250,289
16403.0,200.000,32
16412.0,1856.250,297
16418.0,5775.000,924
16418.0,2281.250,365
16444.0,168.750,27
16446.0,1406.250,225
16542.0,412.500,66
16554.0,2268.750,363
16557.0,1468.750,235
16569.0,3062.500,490
16579.0,23993.750,3839
16648.0,2518.750,403
16667.0,2956.250,473
16674.0,16637.500,2662
16731.0,400.000,64
16753.0,2787.500,446
16764.0,256.250,41
16778.0,362.500,58
16784.0,1581.250,253
16787.0,1606.250,257
16803.0,475.000,76
16910.0,112.500,18
16952.0,8412.500,1346
16953.0,5631.250,901
16955.0,787.500,126
17016.0,17443.750,2791
17034.0,2275.000,364
17040.0,450.000,72
17041.0,1087.500,174
17046.0,3912.500,626
17087.0,18100.000,2896
17105.0,22987.500,3678
17116.0,5850.000,936
17135.0,718.750,115
17153.0,24750.000,3960
17179.0,4443.750,711
17184.0,1006.250,161
17214.0,5025.000,804
17239.0,8018.750,1283
17280.0,5875.000,940
17287.0,3862.500,618
17417.0,131.250,21
17491.0,100.000,16
17507.0,13112.500,2098
17572.0,1962.500,314
17678.0,1475.000,236
17686.0,7931.250,1269
17716.0,22537.500,3606
17755.0,1162.500,186
17812.0,22693.750,3631
17815.0,312.500,50
17874.0,5781.250,925
17924.0,7668.750,1227
